score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
7.123248711438599,-7.123248711438599,16,1.8156125725933867,0.3440437582305947,0.7368138221965093,0.27052736742211586,0.0,0.5657056880298377,15.535453938530434,9.83979111172949,3.4278480313092268,23.558586792914777,13.962070188200904,308.71525060348927,1769.4057008045293,0.9989582895866391,0.7862057410092639,6.0
7.101464977703985,-7.101464977703985,72,1.6961634901018066,0.373931787769755,0.8460837831706535,0.16946268185973168,0.0,0.48788850202926776,14.834493184082248,10.689775076736106,4.438374473768949,18.86301207173246,8.975759622338343,446.1950417964553,2760.418561351556,0.9461868197224708,0.9037456126000534,6.0
7.065221721241555,-7.065221721241555,19,1.666352777551487,0.29235109873116016,0.8460837831706535,0.16946268185973168,0.0,0.48788850202926776,14.83449318408225,10.689775076736106,4.097432846138849,17.50021696668688,9.763453625065315,417.43517696463357,1621.3482842215003,0.9870868380288641,0.9037456126000534,6.0
7.065221721241555,-7.065221721241555,68,1.666352777551487,0.29235109873116016,0.8460837831706535,0.16946268185973168,0.0,0.48788850202926776,14.834493184082248,10.689775076736106,4.097432846138849,17.50021696668688,9.763453625065315,417.43517696463357,1621.3482842215003,0.9870868380288641,0.9037456126000534,6.0
7.051847722980721,-7.051847722980721,61,1.7146669814653166,0.3869200731324819,0.6218149230675786,0.10532648342763307,0.0,0.4822635144456451,14.393613515252675,13.960050762996783,2.992368896871974,21.43617998204416,10.079075007471914,372.65329994327845,2982.4051949626623,0.7542686979058095,0.653518971136417,8.0
7.04974943459582,-7.04974943459582,66,1.7558499852796188,0.392755198695679,0.839118947834512,0.08651231490484557,0.0,0.596496479345028,14.300748439154233,11.681715699545382,3.0407488258948017,16.891494733412095,8.593365437954752,403.94366335973734,2559.981806295703,0.829580184402552,0.69386963568622,8.0
6.910062546960768,-6.910062546960768,13,1.586417696326226,0.3217244657675698,0.6847853874787688,0.22710366371753177,0.0,0.5004906594433687,13.790422350257622,11.720647181512062,3.8810436401504687,22.65982143088541,15.363778596273088,251.35935343494933,1935.679119080305,0.9975527218262767,0.9689532649220834,6.0
6.910062546960768,-6.910062546960768,68,1.586417696326226,0.3217244657675698,0.6847853874787688,0.22710366371753177,0.0,0.5004906594433687,13.79042235025762,11.720647181512062,3.8810436401504687,22.65982143088541,15.36377859627309,251.35935343494933,1935.679119080305,0.9975527218262767,0.9689532649220834,6.0
6.899506809512438,-6.899506809512438,81,1.6772229240537773,0.3077085834758913,0.7320300142449271,0.13980901140999266,0.0,0.48872025538208075,14.42844265314934,13.585792353364859,2.3254626240634004,21.604925978787904,11.785610055261321,372.40435164421797,1725.316708064909,0.8510870423893586,0.7463964457109761,6.0
6.866277536227751,-6.866277536227751,30,1.600563370257758,0.38603259737981455,0.6135496218221015,0.08857633216644234,0.0,0.5097417299092326,15.64690439939517,12.815078831372087,2.466350213390539,16.44620230902948,12.120173630422666,460.5959682886754,1839.1905422049792,0.8286088421864093,0.6512182418657866,6.0
