rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,429,-5.421316482333476,5.421316482333476,5.4157039585667,True,1.4361729210453562,0.39977614643584125,0.8842116272601104,0.2149570277119013,77.0,19.0,1.819253121607463,3.5126361293019537,16.536175640710777,9.461804159781096,406.14324708150195,1161.1474755966922,0.8949162436978588,0.8724029414807752
2,467,-5.410198480643604,5.410198480643604,5.401805141553924,True,1.4848302886201532,0.3636023541913546,0.814135454525272,0.15754532440817648,83.0,14.0,1.7633163944471064,3.29238326522378,18.603667685983485,9.112121035393665,334.32484041009394,1450.746652687959,0.9861762478756556,0.957179811309999
3,3072,-5.425021706212501,5.425021706212501,5.398017214471094,True,1.4471465669519703,0.3965154919555425,0.8556836994242955,0.2596008408253925,85.0,19.0,1.747610749523389,3.8684597484028265,14.361574378817577,10.204872998757557,396.06058424270907,1974.9521980004452,0.8138495963332875,0.9728861519849064
4,512,-5.4250217062125,5.4250217062125,5.398017214471093,True,1.4471465669519703,0.3965154919555425,0.8556836994242955,0.2596008408253925,85.0,19.0,1.7476107495233892,3.8684597484028265,14.361574378817577,10.204872998757557,396.06058424270907,1974.9521980004452,0.8138495963332875,0.9728861519849064
5,1970,-5.4145446716826235,5.4145446716826235,5.397845432219578,True,1.493218529824129,0.37518100073659866,0.8196019836549988,0.08283486869357093,74.0,19.0,1.859837716411042,4.179948287387712,16.147835058226146,10.118315240600872,418.9194808545199,1261.9332062812828,0.9108373729955146,0.8527458634326643
6,826,-5.392448098201793,5.392448098201793,5.392050022852166,True,1.4650399440599926,0.3681742932544516,0.8874809992675731,0.1804315395816767,90.0,23.0,1.5469857230171802,3.93843808878463,14.77804939934526,10.02494505727224,416.7850100588839,1551.80056894584,0.8240296567923147,0.9234219704238132
7,851,-5.424235452946588,5.424235452946588,5.3909037991529205,True,1.5064351084044685,0.373783817921544,0.8523749975565503,0.20675382571010503,81.0,20.0,1.7188037557114624,4.069988045873936,14.483155873910395,10.373766696072828,406.63953692917465,2510.7055252152068,0.8855627488474545,0.9662288631077134
8,1807,-5.394374334580444,5.394374334580444,5.390428174086935,True,1.4862703203321073,0.38130630707976365,0.867612571254299,0.1687391662952973,86.0,19.0,1.7226492657057486,3.4926537425182063,17.098874303432975,12.377964712159189,356.37249405958164,1000.3701451871865,0.8598052108035806,0.832051406990588
9,629,-5.403453950521968,5.403453950521968,5.388622535366437,True,1.464917542266608,0.3851661027990132,0.8241484707753876,0.28410352032381403,73.0,19.0,1.7455953603632903,2.9236878474782864,15.011841883129033,7.09816847647885,446.630489386738,1846.8295491657523,0.8142055776227096,0.9152718974436775
10,694,-5.387465494247905,5.387465494247905,5.385661319049603,True,1.4663562683414197,0.3962861368852063,0.8440989236132154,0.2774597622781333,93.0,17.0,1.5174054273052167,4.332312284372436,14.059871677408815,11.07343213807197,375.03565220930824,1772.63776576587,0.9754090718244841,0.9979759744772512
