generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,1024,9.231436958012637,110.92530931614019,507.729032690695,0.0,-4.915019641355231,4.915019641355231,1.6485714187532663,0.3111427301186531,0.5956111860592727,0.21717826156861816,0.0,0.5326781857861911,5.426711769337695,3.899003196813098,3.1401708623914697,24.852000697795404,17.429985396440163,321.54838397810533,2148.990244078757,0.6519199051357667,0.7821542463908491,6.0
2,0,1536,11.436805375036784,134.30323850335347,415.53726195966976,0.0,-5.653164755756256,5.653164755756256,1.3566697215813766,0.339566223755104,0.6756851009839709,0.22312028066955952,0.0,0.3955708051620859,5.989268357064786,4.720920389571042,2.8327170339938053,21.31473144860359,11.226095437411155,302.6197184977025,2541.5345150977373,0.9050459741912921,0.6995008233858093,8.0
3,0,2048,13.736870958004147,149.08780946265492,370.89551586611196,0.0,-6.073770873487904,6.073770873487904,1.7553117353874792,0.3051999025607173,0.8162777832650425,0.20151465309862224,0.0,0.3638084570569917,10.981799665962408,1.1908575504414394,3.378378378378378,20.02521562824581,9.438923959769607,358.35031900053104,2398.221562078371,0.8816862912624475,0.7895548542379599,8.0
4,0,2560,16.045887583051808,159.54243644982006,343.3819942773087,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
5,0,3072,17.618104792025406,174.3660874006436,311.2531846591155,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
6,0,3584,19.044065167021472,188.1951132054724,285.6609775053221,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
7,0,4096,20.533152917050757,199.48227223295436,266.93098792165983,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
8,0,4608,22.11514154204633,208.36402928912108,253.0955087589747,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
9,0,5120,23.244763208029326,220.26466581648907,237.09658472189912,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
10,0,5632,24.745067042007577,227.60091902111387,227.20470647661503,0.0,-6.415491197267365,6.415491197267365,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
