score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
6.074994083231351,-6.074994083231351,197,1.7646753314416186,0.36986419974355944,0.5639354584899793,0.13400240618516948,0.0,0.4811268534656235,8.21549368048464,5.099462579078219,4.499722825574532,17.64107979085669,13.730802814788756,401.3909971923033,2072.131088841288,0.712316620297524,0.6053091039390187,6.0
6.0194440206415285,-6.0194440206415285,199,1.6463491445464489,0.36830413466827033,0.6959919991885511,0.12859575452801766,0.0,0.4944416091484445,7.464840880159084,5.602117651596008,4.285583749688307,17.61472694274374,13.610208560505852,394.95199070531925,2696.854535013962,0.8064853801929815,0.6719228001240971,6.0
6.018606351820278,-6.018606351820278,189,1.61920391848743,0.34371102490859917,0.42823052611115076,0.24125086960674905,0.0,0.23163794945896052,7.311212315290238,5.844208185443896,3.166666309117713,14.424826073485296,7.03860011811462,453.01595284294496,2256.73369249665,0.9075133214865088,0.7336258771935233,8.0
5.999763146840822,-5.999763146840822,196,1.6185425110838256,0.3601180678095891,0.7597707249525087,0.17101614243671845,0.0,0.30418244600420813,7.611917716612125,4.942150749761275,4.1650947660600295,15.760860942107234,9.757569996266193,498.3694590223004,1761.251819414064,0.8462448507766142,0.6659335572354123,6.0
5.944676047299859,-5.944676047299859,139,1.5953717536367644,0.35483184380379973,0.7248474623875292,0.1752618949644397,0.0,0.45267184660713206,7.294970475120078,5.20969500468276,3.888064601458179,15.377162759171384,10.516505608196233,477.0197601392666,2428.7007095273675,0.8185806045281837,0.6601860602525473,6.0
5.896455762493628,-5.896455762493628,217,1.4588860897461593,0.33812988538098687,0.482098100871978,0.10529457980547459,0.0,0.4953928516741528,6.8906137413501956,6.003652851626493,3.964776627120055,15.985451195432242,7.240947004934814,516.4549850497729,2159.216450378696,0.891217280545152,0.8106782232194001,6.0
5.884956649044869,-5.884956649044869,211,1.562470511066639,0.3374002440913856,0.37432694267481564,0.09501142207863009,0.0,0.46743546600324004,7.040955553685803,5.564570169201581,3.900133890452837,17.167790613051476,8.183647955558394,474.3296314350148,2045.7538793058225,0.7965687161903223,0.8003559173926265,6.0
5.884956649044869,-5.884956649044869,247,1.562470511066639,0.3374002440913856,0.37432694267481564,0.0950114220786301,0.0,0.46743546600324004,7.040955553685803,5.564570169201581,3.900133890452837,17.167790613051476,8.183647955558394,474.3296314350148,2045.7538793058225,0.7965687161903223,0.8003559173926265,6.0
5.863202326483617,-5.863202326483617,197,1.6137689886510875,0.3844118179521967,0.8628953089713856,0.15144101420406586,0.0,0.27566792965590114,6.451439192666823,4.945276115494131,3.9794160331918533,16.502869284413023,10.70245409475733,455.08904914152737,2179.6131453661214,0.8364932640611811,0.6930202434326198,6.0
5.859426415446677,-5.859426415446677,243,1.8151351606730532,0.3195902692039448,0.5243915636586741,0.18535007347375432,0.0,0.2810379079994868,8.212404703295668,2.306327085795827,4.105905033291313,20.325089972642,14.608177407979374,337.5837338149698,2600.8608097590823,0.7724878268211878,0.7263448029940704,6.0
