score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
5.974254234460282,-5.974254234460282,136,1.7386498336595917,0.38261480892652766,0.5617099118342356,0.16047464233923972,0.0,0.5365480814874165,0.0637116468495907,8.880452507792207,3.821238842987988,3.348323508440957,20.0,13.0,22.0,13.0,218.57340895813334,2287.910729928571,22.4875969306977
5.896564669986528,-5.896564669986528,187,1.7667614146043573,0.3280191560144432,0.5843542778528665,0.19560990234745396,0.0,0.49167979439143605,0.07250546521428486,8.512628150037159,2.9450198893153896,3.265001735620162,19.0,12.0,20.0,15.0,247.29529225887333,1894.4073943586225,22.41852527451198
5.807394372688356,-5.807394372688356,73,1.6767935120487703,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
5.807394372688356,-5.807394372688356,131,1.67679351204877,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
5.796744059813285,-5.796744059813285,186,1.8141805784835408,0.2466032729690041,0.5077583641003616,0.16251334881612023,0.0,0.3600625095568327,0.1181289158951229,7.623784706812998,3.991202532623774,2.80034465822142,19.0,12.0,20.0,13.0,261.90603818018144,1888.89938155519,20.24519538186606
5.770784134404279,-5.770784134404279,188,1.7630940706786584,0.35357605657149316,0.6155237701887762,0.1743129817443567,0.0,0.2107298936760228,0.08753356006458815,7.871215244854511,3.628536603693874,2.559192386041793,22.0,13.0,21.0,13.5,232.6982623865731,2981.4102614060685,23.56140678259188
5.765028388258101,-5.765028388258101,131,1.8056124509983882,0.35795359185385495,0.6928456576166417,0.23309434171321572,0.0,0.4154287477735345,0.14628585120810825,7.43922541577701,3.6798829261850656,3.25185690299299,20.0,15.0,21.0,13.5,245.23989624347755,1561.3681116609193,27.537362131362343
5.721295938559538,-5.721295938559538,100,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.882812945315489,20.0,11.0,20.0,15.0,244.092459084845,2837.7788366856807,38.92037793116595
5.721295938559538,-5.721295938559538,151,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.8828129453154894,20.0,11.0,20.0,15.0,244.092459084845,2837.7788366856807,38.92037793116595
5.686779244996093,-5.686779244996093,186,1.5826838412725825,0.36162547202462325,0.5216897579890858,0.1499199592600369,0.0,0.5557554713730515,0.10626573253645782,7.234560538544692,2.6875699884453113,3.234221036565658,20.0,15.0,22.0,13.0,220.1713876993556,1984.5507750064253,19.04473853433966
