niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,2048,5.763199516606509,5.763199516606509,1.788451306001178,0.1814529119683276,0.49005641171155484,0.22314163731385284,0.0,0.4100933277605101,7.428393693322542,4.7955853964556665,2.8136906853383756,20.0,15.0,22.0,13.0,231.0295662397389,1984.4993524116353,38.410493912345146
2,2560,5.703706794513918,5.703706794513918,1.7682455875411163,0.3980248646939003,0.6227344541553451,0.1227168686331569,0.0,0.4384917547272081,7.288459799614186,2.132476423564258,3.2893825017577685,20.0,15.0,21.0,13.5,215.13183766537014,1394.5765478136177,7.072128780601544
3,2683,5.597205516049058,5.597205516049058,1.8287095506384174,0.36539491241188227,0.7944827845582427,0.11536108905384987,0.0,0.22193141037671965,7.346829999929204,0.684798895611916,3.2228663828383084,20.0,15.0,20.0,15.0,252.96694596436174,2178.457392559525,12.67685814897915
4,2533,5.596107516361112,5.596107516361112,1.7400216806895588,0.21167770324684854,0.6520249673419323,0.29225855962474423,0.0,0.5087758712142323,5.654384095118401,5.469509640897996,2.9012495646228196,21.0,13.5,20.0,12.0,237.94353403713018,1802.1825328790362,27.320221726149757
5,2195,5.502352507462389,5.502352507462389,1.7858707354254792,0.27291246612065195,0.8172979445469801,0.18156709818678407,0.0,0.44423746668395503,5.585105847240731,3.286360896688686,2.5025137503668975,20.0,13.0,21.0,13.5,234.2514469839981,2191.588958499695,34.53141545634632
6,2793,5.453799496689637,5.453799496689637,1.709562701616099,0.22174377804305775,0.6531885355674893,0.09817245720310062,0.0,0.2858357661508305,5.698298207575632,2.284418396261433,2.32670540059837,20.0,15.0,18.0,12.0,244.00610890850825,1251.6328546518166,10.93150098032165
