epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.337787345655345,5.337787345655345,False,0,1.5897627622246744,0.21011707886904757,0.5984254903526074,0.10442838653240827,2.0,0.17286602369934762,0.11537538413716178,1.4192153661543472,0.9136843555415908,3.3109841855349993,12.4799901536718,6.6749418874872175,448.8494561601966,2259.5273325893813,0.9229871807619929,0.9819096551184054
1,1,4.714738521691907,-4.714738521691907,False,0,1.615711010661497,0.22646036602780495,0.6412827000053991,0.2903689747728273,0.0,0.5716690651539713,0.06993951905779806,0.9505975652355829,0.6383906860625288,2.2507875107325046,12.985646724854272,9.155855382650838,341.0209942973671,1129.0688790160777,0.9202094279530434,0.9093099352818047
1,2,-5.432787401327318,5.432787401327318,False,0,1.4096449397832558,0.373182425511187,0.6122437686509477,0.2538938420254293,0.0,0.5771055839009218,0.09506045629421007,4.19746622463564,1.2957142022849908,2.869838555272788,18.713719016369808,7.821611245364764,525.6458510214409,2243.9794118298587,0.5310979657300401,0.5926166826928072
1,3,-1.0661976763527168,1.0661976763527168,False,0,1.2319210404600025,0.20088333409279585,0.631231523318504,0.24944418321184372,0.0,0.3176501756449244,0.022460303784102367,0.5590524909508687,0.29912758713755494,2.8711451729963784,11.7829439582822,7.0753200975798825,530.3524133572652,2024.3709021638276,0.9037564676254988,0.7315955980220775
1,4,5.088433316609287,-5.088433316609287,False,0,1.4511925298057498,0.35990570183843373,0.7033116599544883,0.22241666361689566,0.0,0.4601159581471234,0.11614502297453583,3.5768151649258684,0.8036890136663288,2.3696076130947548,10.213332148268819,6.371360648056077,498.7902149092406,2326.953800395131,0.8915212326683104,0.739130868576467
1,5,5.036681098840386,-5.036681098840386,False,0,1.5451533442800713,0.3272110111242807,0.7197083873254864,0.15751702278417246,0.0,0.42156288022706945,0.1068758736939675,3.1611995652268874,0.21045774352993618,3.2676271166459685,11.70278438669256,8.537881769610497,504.75626805556425,2357.2521193740085,0.8876576614642947,0.6668444112379228
