rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,-6.529115439086919,6.529115439086919,6.499983759409213,True,1.7665358930240742,0.3416691177219161,0.7294451524655018,0.267114631744145,0.0,0.4410600828633223,11.839136740736908,7.272327579340711,3.608870683288315,17.99491378483038,7.952028149261828,434.0726581281366,1681.6917921472848,0.9405108246250392,0.9092070271790932,6
2,253,-6.417669314196017,6.417669314196017,6.375192484630464,True,1.766221435576786,0.35785331360530287,0.47849771697282756,0.2772263191528126,0.0,0.40538095705959765,11.879471073783133,6.927552750739539,3.7311146117397778,17.162237692385407,9.552784675994914,508.92987487584145,2096.5478055904023,0.8881119251161589,0.7112487793931612,6
3,3072,-6.417669314196017,6.417669314196017,6.375192484630464,True,1.766221435576786,0.35785331360530287,0.47849771697282756,0.2772263191528126,0.0,0.40538095705959765,11.879471073783133,6.9275527507395385,3.7311146117397778,17.162237692385407,9.552784675994914,508.92987487584145,2096.5478055904023,0.8881119251161589,0.7112487793931612,6
4,247,-6.262382758019846,6.262382758019846,6.251722677362184,True,1.701298611138036,0.35424385355971044,0.7855015838867467,0.2578482214710861,0.0,0.34772417916376797,10.999765232399243,7.269433939347603,3.5077505883158233,15.5947471402188,9.620671978883951,537.0382672992591,1881.0820518755895,0.8206434261689199,0.7823089136728119,6
5,2058,-6.237942138391209,6.237942138391209,6.236202224195734,True,1.8232223309650117,0.343465564377502,0.6364376528046233,0.10635666309686534,0.0,0.3530990809340765,10.038263824662085,6.476674629122364,3.5759841502094334,13.75340189525642,10.467553490979903,526.2963358260497,2191.0477084763784,0.8019773674917279,0.7158227650168387,6
6,3073,-6.237942138391209,6.237942138391209,6.236202224195734,True,1.8232223309650117,0.343465564377502,0.6364376528046233,0.10635666309686533,0.0,0.3530990809340765,10.038263824662085,6.476674629122364,3.5759841502094334,13.75340189525642,10.467553490979903,526.2963358260497,2191.0477084763784,0.8019773674917279,0.7158227650168387,6
7,302,-6.264670742413317,6.264670742413317,6.225629789389615,True,1.7060050929903838,0.30122688755440075,0.7551689484484797,0.21735018493379943,0.0,0.35528265665369463,10.920679329494007,7.522602647349531,3.859385182686821,18.415920143376223,10.3511718994233,390.8685057911343,1949.7898570177363,0.8420028318318536,0.9032088227983839,6
8,2048,-6.245601826800838,6.245601826800838,6.184964196831093,True,1.7815974325320052,0.3032815362492353,0.5178314927564214,0.09053251316751795,0.0,0.35765298894871955,10.049035968374056,7.656104371197218,3.2037696177827772,17.06557314099048,11.29171633262399,476.07424359027056,2547.310981190296,0.6633248240546061,0.6514620434868656,6
9,511,-6.1778227160035435,6.1778227160035435,6.164547132507915,True,1.5020755386154336,0.3706017609231778,0.6828260212262088,0.1162166660346573,0.0,0.3954119729006971,10.831268518600222,4.766088923736324,3.248626217203528,18.696946511704326,7.775023021719244,436.6989402752145,1666.6095012891421,0.8720931510711385,0.9851390073313792,6
10,1536,-6.1662396917601745,6.1662396917601745,6.16314318640667,True,1.5832019413413763,0.2926144428726596,0.5577850666551185,0.16276404173674386,0.0,0.28918213226170303,9.400912497099139,5.313696917039633,2.547653066149892,17.14079488068819,11.170006331974635,358.68893088772893,1811.9410704821348,0.854526520557775,0.716248132288456,8
11,1024,-6.130978586725431,6.130978586725431,6.0823245858348205,True,1.4643590391336807,0.3174518859206241,0.4657321895095473,0.18614849980687725,0.0,0.6050401329476751,9.688392411459365,7.511331920723917,4.050283960341984,14.860014308035998,7.549583095511789,631.6280534498368,2381.2750559742362,0.7955375669678296,0.6737774000383999,6
12,58,-6.116397204831351,6.116397204831351,6.0702501299243865,True,1.8119263057013155,0.3279491651162374,0.6257649544382934,0.10590767744289786,0.0,0.34577121497441865,8.962926584721023,7.43593086769386,3.796594948500084,16.391441442037237,9.700040083874187,468.73464401965424,1192.1991131766158,0.9394435566705436,0.9730623715602275,6
13,2237,-6.063857490408143,6.063857490408143,6.027369593058953,True,1.807146395379184,0.24076910982621916,0.5164384525197853,0.2867904608450602,0.0,0.31551370253817007,8.869141412673628,6.924901012238543,3.3080084753479446,14.760344893951215,10.308785887532347,493.3185725214312,2339.828516654481,0.692652011567488,0.668255229560701,6
14,1305,-6.0367385494712575,6.0367385494712575,6.0226784236861715,True,1.4347443642021784,0.322226374133793,0.5909943805200122,0.11855323989002892,0.0,0.5219895871544991,8.730043921554767,7.604122942179739,3.7845828368140793,17.04320971985864,11.005773715636264,534.3342935234606,1843.2668586756806,0.7412016888498976,0.6159395099371765,6
15,2519,-6.078774790263156,6.078774790263156,6.017096117927391,True,1.6716451628496727,0.34969364523000224,0.36016912889096997,0.10016933711002647,0.0,0.3645051573958961,9.893487497713293,7.889358426831439,3.0482966954540203,17.203138536046456,10.491178154674621,482.6847315631863,2373.4035397112093,0.6613484628561241,0.6811487745902436,6
