score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
5.993275361406435,-5.993275361406435,11,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
5.978308228350473,-5.978308228350473,67,1.1451237944124615,0.3383617912701453,0.3610790938168311,0.09333156788580499,0.0,0.5069953260695245,12.138517142511123,4.5300582259071875,3.358224326870236,20.18677487949111,16.03664852432256,250.65215481644532,2198.4812376524296,0.9150983604232692,0.7960879561369871,8.0
5.905746490021987,-5.905746490021987,31,1.1975613248132893,0.37652496227772736,0.5408838500522385,0.08848602632060647,0.0,0.5706684708159657,9.536483087603138,7.660579929430203,3.363231661249216,18.33584975451231,11.038689866859794,352.896253091876,1276.276795193553,0.693846272508942,0.7270176543844268,8.0
5.877348074121205,-5.877348074121205,74,1.7051848288045157,0.2001090254080224,0.8482212907783714,0.2047130571801081,0.0,0.4583560552776571,10.21019964313445,7.372665018016516,2.7764355539750487,20.84030624469844,12.94220162160841,284.62635009153576,2180.990928306897,0.724173338204206,0.7134575338511895,8.0
5.803868263153846,-5.803868263153846,70,1.4334162705419813,0.26102160831115095,0.7190216599664845,0.22655224468789176,0.0,0.3350864588221266,10.417187274885427,5.677939054319747,3.6340827395108306,22.137446572318474,14.92133545946772,264.4651564914735,1009.6339208224225,0.8507693534830927,0.9532026617711961,6.0
5.674032329581099,-5.674032329581099,65,1.2436348985402017,0.3255653523202355,0.5631371448686228,0.09243356643196309,0.0,0.6049066449263858,13.088783555193912,4.79075350531685,2.672679221784484,17.06344441151339,12.793690056689197,236.03443097100717,2095.6201315412545,0.9397506989522132,0.8655935618493851,8.0
5.580505303143202,-5.580505303143202,64,1.0550655104901945,0.35956639655129846,0.39922583552943985,0.17716297822535718,0.0,0.3476004139275863,10.681244953928207,2.1975842061079804,3.2325443472417845,18.101450365304803,9.174081203532195,349.5458337163689,1875.7562591406697,0.9247839798551885,0.8663992419456024,8.0
5.383947752224501,-5.383947752224501,30,1.3746674123521598,0.33136166151534086,0.8986734986605613,0.11176261246750081,0.0,0.5500919494059014,8.030095939876432,7.099927484611449,1.7682110533028839,14.227095497164225,9.956666601241523,389.9673221651445,2568.533482030034,0.6839212091471196,0.6903394970385109,8.0
5.352131517163519,-5.352131517163519,30,1.4878319428273368,0.23501856823255923,0.527547954720312,0.14366238823656957,0.0,0.6057943816096492,6.035908218401592,4.554113529190765,2.8219757031368484,14.842571289733723,10.793085622153818,347.78410438172324,1866.8833734281193,0.8564520685872303,0.9262316558272415,8.0
5.270473244827633,-5.270473244827633,73,1.5216113844844976,0.2301198453615303,0.7801231736477675,0.1508103279278806,0.0,0.3313179590143207,6.646920565990622,3.892987294554236,1.2320430651809904,14.326237049412779,8.481832311230647,448.23402131974615,2988.6275999407103,0.8672531593338143,0.6861403298947074,8.0
5.25062808751378,-5.25062808751378,13,1.4087513683453727,0.2701615114571312,0.800909423455596,0.28234796648845073,0.0,0.46089054156099973,13.312718082624361,7.909851779611988,2.7242193007841706,19.047711597725737,14.77549258264021,331.9125631824136,2426.006253801392,0.7850493317838088,0.6653500685794479,8.0
5.25062808751378,-5.25062808751378,68,1.4087513683453727,0.2701615114571312,0.800909423455596,0.28234796648845073,0.0,0.46089054156099973,13.312718082624361,7.909851779611988,2.7242193007841706,19.047711597725737,14.775492582640208,331.9125631824136,2426.006253801392,0.7850493317838088,0.6653500685794479,8.0
5.165354164032421,-5.165354164032421,63,1.08182519410539,0.30566012144829036,0.3672013193005184,0.2528123270974715,0.0,0.3075068886700915,7.8047230759956125,4.797385648351234,2.9382836829870427,19.239102140544233,12.02000375304349,296.8939663796929,2224.6206510656193,0.9346246797680978,0.7208291794695183,8.0
5.159530060736669,-5.159530060736669,98,1.1612086936113788,0.2823347141264954,0.42296186059827645,0.2522337781192709,0.0,0.3597208247061492,9.638262338019642,2.663896684235141,2.994991878688632,18.39115947235168,13.359504948003467,468.6344872322534,2569.9411815224703,0.6422679391689599,0.5984106035052639,6.0
5.1433589979506085,-5.1433589979506085,30,1.3133665318144576,0.32041457756931185,0.7437869802876369,0.17192839899068812,0.0,0.5666245759135307,7.329109260948934,4.655660913224414,3.003696572215728,16.99947642025621,10.101323681266758,441.32035115896565,1823.7145574625588,0.833211836200983,0.8085549843087162,6.0
5.141164022914074,-5.141164022914074,31,1.20536124923788,0.3122196067124605,0.48105127438902856,0.28776809126138686,0.0,0.4728881001845001,5.722232960538543,3.178664676154753,3.5989048965275288,18.71064057573676,10.98966038007558,438.3362636901438,1599.3945114314556,0.7038015662692487,0.7116132355295122,6.0
5.141164022914074,-5.141164022914074,82,1.20536124923788,0.3122196067124605,0.48105127438902856,0.28776809126138686,0.0,0.4728881001845001,5.722232960538543,3.178664676154754,3.5989048965275288,18.71064057573676,10.98966038007558,438.3362636901438,1599.3945114314556,0.7038015662692487,0.7116132355295122,6.0
5.1316196378122525,-5.1316196378122525,14,1.541879331548512,0.15618169325449655,0.413839947246015,0.26327602935724104,0.0,0.41529672678242086,9.68845500240977,8.294763182323502,3.81892808389896,23.987022645476422,13.206425325330171,486.68848667293787,1713.8671382500868,0.5728739398783965,0.5678925566744935,6.0
5.09957456599455,-5.09957456599455,64,1.3596406316459233,0.20961141321808102,0.48909021631687205,0.28425156276673075,0.0,0.23013546907813948,4.710694362688374,3.3920744006386023,2.9761200662298575,14.851999507604884,9.372614700451823,449.1474825541325,2526.330020558577,0.8171582547947764,0.7516613778180832,8.0
5.082597859470542,-5.082597859470542,98,1.4348228684986102,0.21462711964622197,0.7126135217025877,0.221094282977283,0.0,0.3091004988160399,9.865534236376043,8.510785094177606,3.4903514013235797,22.814676970886598,16.890201474758957,344.91321267560124,2934.791520972163,0.804376186433823,0.6851389938603647,6.0
5.081487452309678,-5.081487452309678,10,1.2418130466754822,0.29190477963536976,0.5733475209290196,0.20270251515176435,0.0,0.5022135156236954,10.080441689810641,5.868536380230478,2.9564351965263294,23.410785295921638,13.832891478659818,420.79857535628986,1481.8287211528464,0.851739247318992,0.577893955649581,6.0
5.044122713575453,-5.044122713575453,96,1.3402369205874054,0.2447300385458486,0.5357408177434679,0.12675535207016242,0.0,0.310101866110665,10.54754797505324,0.9319602208767304,1.768715751407163,21.008107646601257,11.7479386401448,258.7408249383094,2147.022295548945,0.8326192756173625,0.8839448592029647,8.0
