score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
5.466961944263893,-5.466961944263893,277,1.7370882405626529,0.3066037479914468,0.7242564837617608,0.2773892562374773,0.0,0.2314027146849711,0.1406382182814821,4.560169959078024,3.7258301367365902,2.6006916331302414,11.684909918392723,5.0,594.8270808278731,1544.3194164061606,0.8803552783438713,0.727301732327343
5.439648165462047,-5.439648165462047,300,1.798092908196248,0.3762983460932111,0.4587684725122444,0.1589290863686985,0.0,0.5354513836258363,0.053081469993143615,4.153504911555487,3.489112380060071,3.2642936939997673,11.508855951201575,5.0,592.5919670637043,2235.8138778010057,0.9504673948109315,0.7893639492275202
5.4369105720945194,-5.4369105720945194,297,1.6832401812876059,0.3750826570221924,0.604450234783064,0.24102022801495815,0.0,0.4255721896722408,0.0838440882637333,4.343913741561906,3.365704125375302,3.1190791783873903,11.176904999747798,5.0,611.7578934811245,1896.5926924488767,0.8870395736418271,0.7487325764491339
5.436721282726925,-5.436721282726925,299,1.7682627180346369,0.3735266182164291,0.6628060567572434,0.23598281997361967,0.0,0.4919046170397665,0.08233765601268292,4.291608711645026,3.2679990406794985,3.2441438566048553,11.374187595925708,5.0,599.3982324826177,2047.8932784144617,0.9343125962496073,0.7743242650789797
5.435223045626818,-5.435223045626818,248,1.7024051696293014,0.29816484708287994,0.6371848695597185,0.180435531472557,0.0,0.299238078828413,0.08254552250946276,4.465695920521213,3.5146347812879526,3.329996643000931,11.593202586504626,5.0,600.4880663728393,1986.7459501198555,0.7784922028447923,0.7819335269119385
5.428932074375608,-5.428932074375608,249,1.7670459071201048,0.3493470773570368,0.6417754494919938,0.15530939914836503,0.0,0.2205418183988864,0.06550673001533572,4.249283663425572,3.449804453001491,3.3066583437859824,11.973399122351182,5.0,579.3404390928949,2586.2542841809122,0.8512408098750188,0.7707747124459358
5.425709064042265,-5.425709064042265,247,1.7931367317803844,0.26479874696378247,0.8017803805808632,0.19951170831678638,0.0,0.33181609834026354,0.09275432127538225,4.457171788238924,3.5094124267214397,3.1930211373934037,11.495657149247094,5.0,613.2318257149,2301.970808571431,0.7708697274804435,0.7568535713032614
5.424809758301228,-5.424809758301228,249,1.716956754390098,0.30976505581010993,0.6362911245855608,0.16093094767910276,0.0,0.2983256300220677,0.0904774524856943,4.376888478998602,3.5192794396632294,3.2923621983248266,10.98640607220574,5.0,624.0949235493081,1870.1797915594632,0.7630937249669374,0.735474190277126
5.4238408085076735,-5.4238408085076735,300,1.8187817241722701,0.3521557841793584,0.7324113513523733,0.1755836524930396,0.0,0.570275271522896,0.10423796037042919,4.281070622419158,3.2125684710987628,3.3275426183861674,11.1936517751567,5.0,603.6303714909627,1674.1573162802426,0.925371203970131,0.7818083525426445
5.421272641655277,-5.421272641655277,279,1.7437947799797628,0.30620339122405604,0.6611859805383813,0.16116583164533213,0.0,0.149491372806851,0.10582758142356331,4.398932034430082,2.943974038142237,2.744186814184838,11.39196389739774,5.0,600.8331030693087,1850.895611752726,0.9033575571755612,0.7261819909385454
